dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
Online_whatL2//b.fe.ra10.none.none.wav,none,none,go,ñu,ño,sil,du,cha,mi,sil2,to,si,sil1
Online_whatL2//b.fe.ra11.888.1776.wav,888,1776,ño,me,su,sil,fe,bi,ñu,sil1,ra,ba,sil2
Online_whatL2//b.fe.ra12.none.none.wav,none,none,te,mi,ñu,sil,go,bi,to,sil2,du,cha,sil1
Online_whatL2//b.fe.ra13.none.none.wav,none,none,go,mi,te,sil2,du,to,si,sil,ñu,me,sil1
Online_whatL2//b.fe.ra14.none.none.wav,none,none,go,bi,su,sil,du,me,te,sil2,to,cha,sil1
Online_whatL2//b.fe.ra15.888.1998.wav,888,1998,to,ñu,cha,sil,fe,me,ba,sil2,ra,si,sil1
Online_whatL2//b.fe.ra16.0.1110.wav,0,1110,fe,te,su,sil2,ra,si,ñu,sil,cha,mi,sil1
Online_whatL2//b.fe.ra17.none.none.wav,none,none,ñu,su,to,sil,go,te,bi,sil2,du,si,sil1
Online_whatL2//b.fe.ra18.none.none.wav,none,none,go,si,te,sil,du,to,ño,sil2,me,bi,sil1
Online_whatL2//b.fe.ra19.0.888.wav,0,888,fe,si,ñu,sil,ra,me,su,sil2,cha,to,sil1
Online_whatL2//b.fe.ra20.none.none.wav,none,none,te,me,mi,sil,go,to,ñu,sil2,du,ba,sil1
Online_whatL2//b.fe.ra21.0.888.wav,0,888,fe,bi,su,sil,ra,to,te,sil1,ba,ñu,sil2
Online_whatL2//b.fe.ra22.888.1776.wav,888,1776,ba,me,cha,sil,fe,su,ño,sil1,ra,to,sil2
Online_whatL2//b.fe.ra23.none.none.wav,none,none,te,ñu,me,sil,go,cha,ño,sil1,du,bi,sil2
Online_whatL2//b.fe.ra24.none.none.wav,none,none,si,cha,su,sil2,go,mi,me,sil,du,bi,sil1
Online_whatL2//b.fe.ra25.0.888.wav,0,888,fe,to,si,sil,ra,mi,su,sil2,cha,ño,sil1
Online_whatL2//b.fe.ra26.1110.1998.wav,1110,1998,si,me,bi,sil2,fe,cha,te,sil,ra,to,sil1
Online_whatL2//b.fe.ra27.none.none.wav,none,none,mi,me,su,sil,go,cha,ño,sil2,du,te,sil1
Online_whatL2//b.fe.ra28.0.888.wav,0,888,fe,me,mi,sil,ra,cha,bi,sil2,su,to,sil1
Online_whatL2//b.fe.ra29.1110.1998.wav,1110,1998,ñu,si,cha,sil2,fe,ba,ño,sil,ra,me,sil1
Online_whatL2//b.fe.ra30.none.none.wav,none,none,si,cha,bi,sil,go,ba,to,sil1,du,me,sil2
Online_whatL2//b.fe.ra31.0.888.wav,0,888,fe,bi,to,sil,ra,ño,me,sil1,su,te,sil2
Online_whatL2//c.cha.me0.1998.222.wav,1998,222,fe,me,ño,sil,ra,su,si,sil2,cha,mi,sil1
Online_whatL2//c.cha.me1.1110.0.wav,1110,0,me,mi,ba,sil,fe,cha,su,sil2,ra,ñu,sil1
Online_whatL2//c.cha.me2.none.none.wav,none,none,go,ba,si,sil2,du,mi,ñu,sil,bi,ño,sil1
Online_whatL2//c.cha.me3.1332.444.wav,1332,444,go,to,me,sil,du,si,cha,sil2,ño,te,sil1
Online_whatL2//c.cha.me4.none.none.wav,none,none,ba,te,su,sil2,fe,ño,si,sil,ra,ñu,sil1
Online_whatL2//c.cha.me5.none.none.wav,none,none,ñu,mi,ño,sil2,go,te,ba,sil,du,su,sil1
Online_whatL2//c.cha.me6.222.1110.wav,222,1110,fe,cha,ba,sil,ra,me,te,sil2,si,mi,sil1
Online_whatL2//c.cha.me7.222.444.wav,222,444,go,cha,me,sil,du,bi,si,sil1,su,ba,sil2
Online_whatL2//c.cha.me8.1998.1332.wav,1998,1332,go,ñu,ño,sil2,du,me,mi,sil,cha,su,sil1
Online_whatL2//c.cha.me9.none.none.wav,none,none,te,to,si,sil2,fe,su,ñu,sil,ra,bi,sil1
Online_whatL2//c.cha.me10.222.1110.wav,222,1110,fe,cha,ño,sil,ra,me,su,sil1,si,to,sil2
Online_whatL2//c.cha.me11.1332.0.wav,1332,0,me,ba,si,sil2,fe,cha,ñu,sil,ra,bi,sil1
Online_whatL2//c.cha.me12.1332.222.wav,1332,222,go,me,si,sil,du,ñu,cha,sil1,mi,to,sil2
Online_whatL2//c.cha.me13.none.none.wav,none,none,fe,su,te,sil,ra,ño,si,sil2,ba,bi,sil1
Online_whatL2//c.cha.me14.none.none.wav,none,none,ñu,to,ño,sil,go,ba,si,sil2,du,mi,sil1
Online_whatL2//c.cha.me15.none.none.wav,none,none,su,ñu,mi,sil,go,ba,bi,sil1,du,to,sil2
Online_whatL2//c.cha.me16.none.none.wav,none,none,go,ñu,bi,sil2,du,to,te,sil,ño,mi,sil1
Online_whatL2//c.cha.me17.0.444.wav,0,444,cha,te,me,sil2,go,bi,ñu,sil,du,mi,sil1
Online_whatL2//c.cha.me18.none.none.wav,none,none,bi,to,ñu,sil,fe,ño,ba,sil1,ra,si,sil2
Online_whatL2//c.cha.me19.none.none.wav,none,none,go,su,bi,sil,du,ño,to,sil2,ñu,ba,sil1
Online_whatL2//c.cha.me20.444.1332.wav,444,1332,fe,si,cha,sil,ra,bi,me,sil2,ño,mi,sil1
Online_whatL2//c.cha.me21.none.none.wav,none,none,go,mi,bi,sil,du,si,su,sil2,te,ba,sil1
Online_whatL2//c.cha.me22.0.1110.wav,0,1110,cha,to,su,sil,go,me,ño,sil1,du,ba,sil2
Online_whatL2//c.cha.me23.none.none.wav,none,none,si,ñu,te,sil,fe,ba,su,sil2,ra,to,sil1
Online_whatL2//c.cha.me24.0.444.wav,0,444,cha,te,me,sil,go,ba,ño,sil2,du,si,sil1
Online_whatL2//c.cha.me25.none.none.wav,none,none,fe,te,mi,sil,ra,ñu,si,sil2,ba,bi,sil1
Online_whatL2//c.cha.me26.444.1110.wav,444,1110,mi,bi,cha,sil,go,me,ño,sil1,du,te,sil2
Online_whatL2//c.cha.me27.none.none.wav,none,none,fe,si,ñu,sil2,ra,ño,ba,sil,te,bi,sil1
Online_whatL2//c.cha.me28.0.1110.wav,0,1110,cha,to,su,sil,fe,me,te,sil1,ra,bi,sil2
Online_whatL2//c.cha.me29.none.none.wav,none,none,ño,ba,mi,sil,go,ñu,bi,sil1,du,te,sil2
Online_whatL2//c.cha.me30.none.none.wav,none,none,fe,ba,su,sil,ra,mi,ño,sil1,ñu,to,sil2
Online_whatL2//c.cha.me31.1110.222.wav,1110,222,su,me,ño,sil,fe,cha,bi,sil1,ra,mi,sil2
Online_whatL2//d.si.ñu0.0.444.wav,0,444,si,mi,ñu,sil,go,ba,te,sil2,du,to,sil1
Online_whatL2//d.si.ñu1.none.none.wav,none,none,te,ño,bi,sil,fe,cha,to,sil1,ra,mi,sil2
Online_whatL2//d.si.ñu2.none.none.wav,none,none,mi,ño,ba,sil,go,te,cha,sil1,du,su,sil2
Online_whatL2//d.si.ñu3.0.444.wav,0,444,si,ba,ñu,sil2,fe,te,cha,sil,ra,ño,sil1
Online_whatL2//d.si.ñu4.1776.1110.wav,1776,1110,fe,su,to,sil,ra,ñu,cha,sil1,si,me,sil2
Online_whatL2//d.si.ñu5.none.none.wav,none,none,go,to,me,sil2,du,mi,ño,sil,ba,su,sil1
Online_whatL2//d.si.ñu6.none.none.wav,none,none,te,me,mi,sil2,go,su,to,sil,du,bi,sil1
Online_whatL2//d.si.ñu7.1332.0.wav,1332,0,ñu,to,me,sil,fe,su,si,sil1,ra,bi,sil2
Online_whatL2//d.si.ñu8.none.none.wav,none,none,go,ba,to,sil2,du,mi,su,sil,te,cha,sil1
Online_whatL2//d.si.ñu9.444.1332.wav,444,1332,go,mi,si,sil,du,me,ñu,sil2,to,su,sil1
Online_whatL2//d.si.ñu10.1554.222.wav,1554,222,to,ñu,cha,sil2,fe,me,si,sil,ra,te,sil1
Online_whatL2//d.si.ñu11.none.none.wav,none,none,su,bi,me,sil,go,te,mi,sil1,du,ño,sil2
Online_whatL2//d.si.ñu12.222.444.wav,222,444,go,si,ñu,sil,du,ba,me,sil1,bi,to,sil2
Online_whatL2//d.si.ñu13.444.0.wav,444,0,ñu,te,si,sil,fe,bi,cha,sil1,ra,ba,sil2
Online_whatL2//d.si.ñu14.none.none.wav,none,none,fe,te,cha,sil,ra,mi,ba,sil1,bi,ño,sil2
Online_whatL2//d.si.ñu15.none.none.wav,none,none,su,te,mi,sil2,fe,ño,bi,sil,ra,cha,sil1
Online_whatL2//d.si.ñu16.222.1332.wav,222,1332,go,si,ba,sil2,du,ñu,te,sil,me,ño,sil1
Online_whatL2//d.si.ñu17.0.444.wav,0,444,si,me,ñu,sil,go,mi,cha,sil2,du,bi,sil1
Online_whatL2//d.si.ñu18.222.444.wav,222,444,su,si,ñu,sil,go,te,me,sil2,du,ba,sil1
Online_whatL2//d.si.ñu19.1110.0.wav,1110,0,ñu,mi,me,sil,go,si,su,sil2,du,cha,sil1
Online_whatL2//d.si.ñu20.none.none.wav,none,none,fe,cha,me,sil2,ra,to,bi,sil,mi,ba,sil1
Online_whatL2//d.si.ñu21.none.none.wav,none,none,go,cha,ño,sil,du,su,bi,sil2,ba,te,sil1
Online_whatL2//d.si.ñu22.444.1332.wav,444,1332,fe,to,si,sil,ra,bi,ñu,sil2,ba,me,sil1
Online_whatL2//d.si.ñu23.none.none.wav,none,none,me,to,ño,sil2,fe,cha,su,sil,ra,mi,sil1
Online_whatL2//d.si.ñu24.none.none.wav,none,none,fe,ba,cha,sil2,ra,to,mi,sil,te,bi,sil1
Online_whatL2//d.si.ñu25.none.none.wav,none,none,go,te,su,sil,du,to,ba,sil2,cha,mi,sil1
Online_whatL2//d.si.ñu26.none.none.wav,none,none,mi,cha,te,sil,go,ño,su,sil2,du,me,sil1
Online_whatL2//d.si.ñu27.none.none.wav,none,none,su,te,bi,sil,fe,cha,ño,sil2,ra,ba,sil1
Online_whatL2//d.si.ñu28.444.1554.wav,444,1554,go,me,si,sil2,du,to,ñu,sil,te,mi,sil1
Online_whatL2//d.si.ñu29.222.1110.wav,222,1110,fe,si,me,sil,ra,ñu,ño,sil2,mi,te,sil1
Online_whatL2//d.si.ñu30.1332.222.wav,1332,222,fe,ñu,te,sil2,ra,si,to,sil,bi,ba,sil1
Online_whatL2//d.si.ñu31.none.none.wav,none,none,fe,mi,ño,sil,ra,su,me,sil1,ba,te,sil2
