dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
impB_L3//a.mo20.888.wav,888,888,fu,ka,ñe,sil,mo,ko,je,sil1,le,ji,sil2
impB_L3//a.mo21.1776.wav,1776,1776,le,ko,ji,sil,do,li,sa,sil1,mo,ka,sil2
impB_L3//a.mo22.222.wav,222,222,chu,mo,gu,sil,ka,li,je,sil1,ko,di,sil2
impB_L3//a.mo23.1110.wav,1110,1110,fu,li,sa,sil,je,mo,le,sil1,ga,ji,sil2
impB_L3//a.mo24.none.wav,none,none,di,ñe,je,sil,ko,li,chu,sil1,ga,ji,sil2
impB_L3//a.mo25.222.wav,222,222,di,mo,do,sil,li,ñe,le,sil1,ji,ga,sil2
impB_L3//a.mo26.none.wav,none,none,ko,ñe,ga,sil,je,do,ji,sil1,chu,li,sil2
impB_L3//a.mo27.none.wav,none,none,ka,le,je,sil,ji,sa,gu,sil1,chu,ga,sil2
impB_L3//a.mo28.222.wav,222,222,di,mo,do,sil,je,ñe,ji,sil1,ko,fu,sil2
impB_L3//a.mo29.1998.wav,1998,1998,ji,le,li,sil,ga,ñe,gu,sil1,je,mo,sil2
impB_L3//a.mo30.none.wav,none,none,ga,je,gu,sil,ka,do,chu,sil1,sa,le,sil2
impB_L3//a.mo31.none.wav,none,none,fu,le,ji,sil,gu,chu,ga,sil1,sa,ka,sil2
impB_L3//a.mo32.444.wav,444,444,ko,ji,mo,sil,li,di,chu,sil1,ka,ga,sil2
impB_L3//a.mo33.none.wav,none,none,gu,li,fu,sil,ji,chu,ko,sil1,do,ñe,sil2
impB_L3//a.mo34.1332.wav,1332,1332,do,gu,ji,sil,di,chu,mo,sil1,le,ko,sil2
impB_L3//a.mo35.none.wav,none,none,ga,ñe,ji,sil,gu,je,le,sil1,fu,chu,sil2
impB_L3//b.ñe0.1998.wav,1998,1998,je,ga,ko,sil,ji,gu,le,sil1,chu,ñe,sil2
impB_L3//b.ñe1.222.wav,222,222,do,ñe,fu,sil,mo,je,ko,sil1,ji,ka,sil2
impB_L3//b.ñe2.1998.wav,1998,1998,chu,ji,li,sil,ko,gu,di,sil1,fu,ñe,sil2
impB_L3//b.ñe3.none.wav,none,none,fu,di,chu,sil,le,gu,ko,sil1,ga,sa,sil2
impB_L3//b.ñe4.none.wav,none,none,do,li,sa,sil,ko,ka,ga,sil1,chu,gu,sil2
impB_L3//b.ñe5.888.wav,888,888,ga,ji,li,sil,ñe,do,chu,sil1,le,ko,sil2
impB_L3//b.ñe6.1776.wav,1776,1776,ga,le,ka,sil,mo,je,di,sil1,ñe,fu,sil2
impB_L3//b.ñe7.none.wav,none,none,sa,di,je,sil,ka,mo,le,sil1,ji,ga,sil2
impB_L3//b.ñe8.none.wav,none,none,ko,le,ji,sil,mo,ga,chu,sil1,fu,do,sil2
impB_L3//b.ñe9.none.wav,none,none,gu,ko,sa,sil,fu,ka,je,sil1,ji,chu,sil2
impB_L3//b.ñe10.1998.wav,1998,1998,gu,do,le,sil,ji,chu,li,sil1,ka,ñe,sil2
impB_L3//b.ñe11.none.wav,none,none,li,je,sa,sil,ka,ji,do,sil1,di,chu,sil2
impB_L3//b.ñe12.222.wav,222,222,ga,ñe,ko,sil,fu,do,di,sil1,gu,mo,sil2
impB_L3//b.ñe13.none.wav,none,none,ji,fu,le,sil,ga,sa,ko,sil1,ka,mo,sil2
impB_L3//b.ñe14.none.wav,none,none,li,fu,mo,sil,je,do,sa,sil1,ji,ka,sil2
impB_L3//b.ñe15.none.wav,none,none,ga,do,li,sil,mo,ka,ko,sil1,di,chu,sil2
impB_L3//b.ñe16.1776.wav,1776,1776,le,li,do,sil,je,ko,sa,sil1,ñe,gu,sil2
impB_L3//b.ñe17.none.wav,none,none,mo,fu,je,sil,ko,ka,chu,sil1,do,li,sil2
impB_L3//b.ñe18.0.wav,0,0,ñe,ko,chu,sil,ga,ka,fu,sil1,ji,li,sil2
impB_L3//b.ñe19.none.wav,none,none,ko,le,ga,sil,sa,mo,do,sil1,gu,li,sil2
impB_L3//b.ñe20.1776.wav,1776,1776,li,je,do,sil,ga,gu,sa,sil1,ñe,ji,sil2
impB_L3//b.ñe21.none.wav,none,none,chu,di,je,sil,mo,gu,li,sil1,fu,ga,sil2
impB_L3//b.ñe22.none.wav,none,none,le,mo,di,sil,ga,ka,je,sil1,sa,do,sil2
impB_L3//b.ñe23.none.wav,none,none,chu,ko,di,sil,ga,je,gu,sil1,ka,sa,sil2
impB_L3//b.ñe24.1332.wav,1332,1332,ga,ka,ji,sil,le,do,ñe,sil1,chu,ko,sil2
impB_L3//b.ñe25.none.wav,none,none,ga,chu,di,sil,li,ka,fu,sil1,mo,le,sil2
impB_L3//b.ñe26.none.wav,none,none,mo,le,di,sil,fu,sa,li,sil1,ka,do,sil2
impB_L3//b.ñe27.222.wav,222,222,di,ñe,le,sil,do,ko,sa,sil1,gu,je,sil2
impB_L3//b.ñe28.1110.wav,1110,1110,ka,ga,do,sil,mo,ñe,gu,sil1,di,li,sil2
impB_L3//b.ñe29.444.wav,444,444,gu,ko,ñe,sil,je,di,mo,sil1,ka,ga,sil2
impB_L3//b.ñe30.none.wav,none,none,gu,chu,sa,sil,le,ko,ka,sil1,je,di,sil2
impB_L3//b.ñe31.1776.wav,1776,1776,do,ga,ko,sil,mo,li,ji,sil1,ñe,gu,sil2
impB_L3//b.ñe32.1776.wav,1776,1776,ka,ga,ji,sil,li,je,sa,sil1,ñe,di,sil2
impB_L3//b.ñe33.0.wav,0,0,ñe,sa,fu,sil,je,gu,li,sil1,do,ko,sil2
impB_L3//b.ñe34.888.wav,888,888,ji,do,ko,sil,ñe,di,le,sil1,li,sa,sil2
impB_L3//b.ñe35.none.wav,none,none,ka,je,do,sil,li,chu,ga,sil1,mo,gu,sil2
impB_L3//c.gu0.1776.wav,1776,1776,ko,li,je,sil,sa,chu,le,sil1,gu,di,sil2
impB_L3//c.gu1.none.wav,none,none,fu,li,le,sil,chu,ji,ñe,sil1,ka,ko,sil2
impB_L3//c.gu2.none.wav,none,none,ko,le,mo,sil,ji,ka,ga,sil1,chu,fu,sil2
impB_L3//c.gu3.none.wav,none,none,ga,di,li,sil,fu,le,sa,sil1,ji,chu,sil2
impB_L3//c.gu4.none.wav,none,none,do,le,mo,sil,fu,ka,ga,sil1,li,sa,sil2
impB_L3//c.gu5.1998.wav,1998,1998,mo,li,ko,sil,le,ji,ñe,sil1,ka,gu,sil2
impB_L3//c.gu6.none.wav,none,none,ka,je,chu,sil,sa,do,li,sil1,ji,ko,sil2
impB_L3//c.gu7.444.wav,444,444,sa,li,gu,sil,do,ka,je,sil1,ñe,fu,sil2
impB_L3//c.gu8.none.wav,none,none,do,ji,ko,sil,mo,li,ga,sil1,je,ñe,sil2
impB_L3//c.gu9.888.wav,888,888,do,le,ka,sil,gu,ji,ñe,sil1,sa,je,sil2
impB_L3//c.gu10.1998.wav,1998,1998,le,ka,li,sil,ko,sa,je,sil1,chu,gu,sil2
impB_L3//c.gu11.444.wav,444,444,ko,chu,gu,sil,ka,fu,do,sil1,ga,ñe,sil2
impB_L3//c.gu12.222.wav,222,222,je,gu,li,sil,do,ñe,ko,sil1,mo,fu,sil2
impB_L3//c.gu13.none.wav,none,none,do,je,li,sil,fu,mo,ji,sil1,ñe,le,sil2
impB_L3//c.gu14.none.wav,none,none,do,je,ka,sil,ko,ñe,fu,sil1,li,mo,sil2
impB_L3//c.gu15.none.wav,none,none,sa,do,le,sil,ji,chu,di,sil1,ga,ko,sil2
impB_L3//c.gu16.none.wav,none,none,ka,ji,le,sil,ga,ñe,ko,sil1,sa,li,sil2
impB_L3//c.gu17.888.wav,888,888,sa,do,ji,sil,gu,mo,ka,sil1,li,ga,sil2
impB_L3//c.gu18.none.wav,none,none,ga,je,fu,sil,chu,di,li,sil1,le,mo,sil2
impB_L3//c.gu19.888.wav,888,888,ka,mo,ñe,sil,gu,do,ji,sil1,fu,ko,sil2
impB_L3//c.gu20.none.wav,none,none,sa,ji,ga,sil,do,ka,fu,sil1,ñe,je,sil2
impB_L3//c.gu21.1332.wav,1332,1332,chu,di,ga,sil,je,sa,gu,sil1,ji,li,sil2
impB_L3//c.gu22.none.wav,none,none,li,ñe,ka,sil,fu,sa,le,sil1,do,je,sil2
impB_L3//c.gu23.0.wav,0,0,gu,ka,do,sil,le,mo,sa,sil1,di,ji,sil2
impB_L3//c.gu24.222.wav,222,222,ka,gu,do,sil,mo,chu,ji,sil1,li,ko,sil2
impB_L3//c.gu25.1998.wav,1998,1998,chu,ji,di,sil,do,je,ka,sil1,mo,gu,sil2
impB_L3//c.gu26.888.wav,888,888,li,le,fu,sil,gu,ñe,ji,sil1,sa,do,sil2
impB_L3//c.gu27.none.wav,none,none,sa,di,ga,sil,mo,li,ko,sil1,je,ka,sil2
impB_L3//c.gu28.444.wav,444,444,ga,chu,gu,sil,di,do,mo,sil1,je,li,sil2
impB_L3//c.gu29.none.wav,none,none,je,fu,ñe,sil,chu,ko,le,sil1,ka,di,sil2
impB_L3//c.gu30.1332.wav,1332,1332,ka,le,ñe,sil,chu,ji,gu,sil1,ko,ga,sil2
impB_L3//c.gu31.none.wav,none,none,chu,ko,ji,sil,do,le,ga,sil1,mo,di,sil2
impB_L3//d.ji0.1110.wav,1110,1110,ka,chu,ko,sil,sa,ji,li,sil1,do,fu,sil2
impB_L3//d.ji1.none.wav,none,none,ko,chu,do,sil,mo,ga,fu,sil1,ka,li,sil2
impB_L3//d.ji2.1998.wav,1998,1998,mo,sa,je,sil,ga,ka,do,sil1,fu,ji,sil2
impB_L3//d.ji3.0.wav,0,0,ji,ka,je,sil,sa,fu,mo,sil1,li,di,sil2
impB_L3//d.ji4.0.wav,0,0,ji,sa,di,sil,do,ka,li,sil1,ga,chu,sil2
impB_L3//d.ji5.888.wav,888,888,di,li,sa,sil,ji,le,je,sil1,ñe,fu,sil2
impB_L3//d.ji6.0.wav,0,0,ji,gu,do,sil,ñe,li,mo,sil1,di,le,sil2
impB_L3//d.ji7.none.wav,none,none,li,di,ko,sil,gu,mo,je,sil1,chu,ka,sil2
impB_L3//d.ji8.0.wav,0,0,ji,fu,di,sil,je,chu,le,sil1,ko,ñe,sil2
impB_L3//d.ji9.222.wav,222,222,di,ji,gu,sil,le,ko,mo,sil1,je,chu,sil2
impB_L3//d.ji10.none.wav,none,none,di,gu,je,sil,mo,sa,ko,sil1,li,le,sil2
impB_L3//d.ji11.1998.wav,1998,1998,li,je,ga,sil,ka,ñe,sa,sil1,ko,ji,sil2
impB_L3//d.ji12.none.wav,none,none,sa,je,gu,sil,le,fu,chu,sil1,ga,li,sil2
impB_L3//d.ji13.888.wav,888,888,je,le,fu,sil,ji,li,mo,sil1,ko,ñe,sil2
impB_L3//d.ji14.444.wav,444,444,fu,chu,ji,sil,ko,ga,ka,sil1,mo,li,sil2
impB_L3//d.ji15.none.wav,none,none,ga,sa,do,sil,di,chu,le,sil1,gu,je,sil2
impB_L3//d.ji16.444.wav,444,444,le,mo,ji,sil,gu,fu,ñe,sil1,do,ka,sil2
impB_L3//d.ji17.none.wav,none,none,ga,ñe,ka,sil,gu,di,mo,sil1,ko,do,sil2
impB_L3//d.ji18.none.wav,none,none,mo,ko,do,sil,ñe,li,ga,sil1,je,fu,sil2
impB_L3//d.ji19.none.wav,none,none,sa,gu,ko,sil,ga,di,je,sil1,ñe,fu,sil2
impB_L3//d.ji20.1998.wav,1998,1998,chu,ka,mo,sil,di,gu,ga,sil1,li,ji,sil2
impB_L3//d.ji21.none.wav,none,none,ñe,ko,le,sil,di,ka,gu,sil1,sa,do,sil2
impB_L3//d.ji22.none.wav,none,none,ga,li,sa,sil,mo,do,gu,sil1,fu,je,sil2
impB_L3//d.ji23.none.wav,none,none,ñe,ko,chu,sil,di,je,gu,sil1,ga,fu,sil2
impB_L3//d.ji24.1998.wav,1998,1998,le,do,je,sil,sa,ka,fu,sil1,chu,ji,sil2
impB_L3//d.ji25.none.wav,none,none,chu,ga,le,sil,fu,li,ko,sil1,ñe,do,sil2
impB_L3//d.ji26.none.wav,none,none,le,je,ñe,sil,do,li,sa,sil1,ga,gu,sil2
impB_L3//d.ji27.none.wav,none,none,ka,do,ga,sil,gu,mo,le,sil1,ko,ñe,sil2
impB_L3//d.ji28.none.wav,none,none,do,fu,chu,sil,ka,gu,ga,sil1,li,sa,sil2
impB_L3//d.ji29.none.wav,none,none,ka,di,li,sil,le,fu,chu,sil1,mo,ko,sil2
impB_L3//d.ji30.0.wav,0,0,ji,ñe,di,sil,ga,fu,gu,sil1,sa,do,sil2
impB_L3//d.ji31.1998.wav,1998,1998,ñe,li,fu,sil,do,chu,gu,sil1,ka,ji,sil2
